name,provider,loan_type,interest_rate,eligibility,repayment_terms,max_amount,deadline,url,source
BOC Educational Loan,Bank of Ceylon (BOC),Bank Loan,N/A,N/A,N/A,N/A,rolling,https://www.boc.lk/personal-banking/loans/education-loan/educational-loan,Bank of Ceylon (BOC) Official Website
Commercial Bank Educational Loan,Commercial Bank,Bank Loan,Competitive (exact rate varies),"• Registered student with education provider • Non-employed: Apply with parent/guardian/spouse, age 18+ • Employed: Permanent employee with min salary Rs.75,000/- (net), salary credited 3+ months • Self-employed: Professionally qualified, age 18-65",7 years,Rs. 10000000,rolling,https://www.combank.lk/personal-banking/loans/education-loans,Commercial Bank Official Website
Wisdom Higher Education Loan,Peoples Bank,Other,Competitive (exact rate contact bank),• Students engaged in higher education • Both employed and unemployed eligible,N/A,N/A,rolling,https://www.peoplesbank.lk/educational-loans-en/,Peoples Bank Official Website
HNB Education Loan,HNB,Bank Loan,N/A,Contact HNB for eligibility criteria,N/A,N/A,rolling,https://www.hnb.lk/personal/loans/education-loans,HNB Official Website
NSB Buddhi - Higher Education Loan,National Savings Bank (NSB),Bank Loan,Attractive (exact rate contact NSB),• Sri Lankan citizen • Age 18-50 years • Enrolled for higher education at university/college/academy • Employed: Can apply independently • Unemployed: Can apply jointly with parents/guardian,10 years,"Based on course fee, repayment capacity, collateral value, and age",rolling,https://www.nsb.lk/loans_advances/nsb-buddhi/,National Savings Bank (NSB) Official Website
PABC Aspire Educational Loan,PABC Bank,Bank Loan,N/A,Contact PABC Bank for eligibility criteria,N/A,N/A,rolling,https://www.pabcbank.com/personal-banking/loans-leasing/aspire-educational-loan/,PABC Bank Official Website
Interest-Free Student Loan Scheme,MOHE Student Loan Scheme,Other,Interest-Free,"* Completed G.C.E. (A/L) Examination in 2022, 2023, or 2024 * Obtained simple (S) passes for all three subjects (not exceeding 3 sittings) * Minimum 30 marks in Common General Test (any sitting, max 3 sittings) * Minimum simple (S) pass in General English (A/L) or English Language (O/L) * Age 25 years or below * Enrolling in approved Degree Awarding Institute (DAI) * Eligible for government-approved degree programs of high market demand * Stipend loan up to Rs. 300,000/- available for living exp...",N/A,Rs. 600000,N/A - Ongoing scheme,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: Sri Lanka Institute of Information Technology,MOHE Student Loan Scheme,DAI Related,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: National School of Business Management,MOHE Student Loan Scheme,DAI Related,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: CINEC Campus (Pvt) Ltd,MOHE Student Loan Scheme,DAI Related,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: Sri Lanka Institute of Buddhist Academy,MOHE Student Loan Scheme,NSB Loan,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: Institute of Chartered Accountants of Sri Lanka,MOHE Student Loan Scheme,DAI Related,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: Horizon College of Business and Technology (Pvt) Ltd,MOHE Student Loan Scheme,DAI Related,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: KIU Campus (Pvt) Ltd,MOHE Student Loan Scheme,DAI Related,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: SLT Campus (Pvt) Ltd,MOHE Student Loan Scheme,DAI Related,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: SAEGIS Campus (Pvt) Ltd,MOHE Student Loan Scheme,DAI Related,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: ESoft Metro Campus (Pvt) Ltd,MOHE Student Loan Scheme,DAI Related,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: Aquinas College of Higher Studies,MOHE Student Loan Scheme,DAI Related,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: Institute of Chemistry Ceylon,MOHE Student Loan Scheme,DAI Related,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: International College of Business & Technology,MOHE Student Loan Scheme,DAI Related,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: Benedict Catholic Institute of Higher Education,MOHE Student Loan Scheme,DAI Related,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: Nagananda International Institute for Buddhist Studies,MOHE Student Loan Scheme,NSB Loan,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Approved DAI: Business Management School,MOHE Student Loan Scheme,DAI Related,Interest-Free,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Student Loan - Humanities and Social Sciences,MOHE Student Loan Scheme,Other,Interest-Free,Must meet A/L requirements and enroll in approved DAI,N/A,Rs. 800000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Student Loan - Management and Commerce,MOHE Student Loan Scheme,Other,Interest-Free,Must meet A/L requirements and enroll in approved DAI,N/A,Rs. 900000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Student Loan - Science (Chemical),MOHE Student Loan Scheme,Other,Interest-Free,Must meet A/L requirements and enroll in approved DAI,N/A,Rs. 1200000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Student Loan - Science (Physical),MOHE Student Loan Scheme,Other,Interest-Free,Must meet A/L requirements and enroll in approved DAI,N/A,Rs. 1000000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Student Loan - Engineering,MOHE Student Loan Scheme,Other,Interest-Free,Must meet A/L requirements and enroll in approved DAI,N/A,Rs. 1500000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Student Loan - Biotechnology,MOHE Student Loan Scheme,Other,Interest-Free,Must meet A/L requirements and enroll in approved DAI,N/A,Rs. 1000000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Student Loan - Engineering Technology,MOHE Student Loan Scheme,Other,Interest-Free,Must meet A/L requirements and enroll in approved DAI,N/A,Rs. 1000000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Student Loan - Bachelor of Computer Science,MOHE Student Loan Scheme,Other,Interest-Free,Must meet A/L requirements and enroll in approved DAI,N/A,Rs. 800000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Student Loan - Bachelor of Science (ICT),MOHE Student Loan Scheme,Other,Interest-Free,Must meet A/L requirements and enroll in approved DAI,N/A,Rs. 1000000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Student Loan - Humanities and Social Sciences (3-year),MOHE Student Loan Scheme,Other,Interest-Free,Must meet A/L requirements and enroll in approved DAI,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Student Loan - Management and Commerce (3-year),MOHE Student Loan Scheme,Other,Interest-Free,Must meet A/L requirements and enroll in approved DAI,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Student Loan - Engineering and Technology (3-year),MOHE Student Loan Scheme,Other,Interest-Free,Must meet A/L requirements and enroll in approved DAI,N/A,Rs. 800000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
Student Loan - Bachelor of Computer Science (3-year),MOHE Student Loan Scheme,Other,Interest-Free,Must meet A/L requirements and enroll in approved DAI,N/A,Rs. 600000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
"Student Loan - Bachelor of Science (ICT, 3-year)",MOHE Student Loan Scheme,Other,Interest-Free,Must meet A/L requirements and enroll in approved DAI,N/A,Rs. 800000,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme
