role_id,skill_sk001,skill_sk002,skill_sk003,skill_sk004,skill_sk005,skill_sk006,skill_sk007,skill_sk008,skill_sk009,skill_sk010,skill_sk011,skill_sk012,skill_sk013,skill_sk014,skill_sk015,skill_sk016,skill_sk017,skill_sk018,skill_sk019,skill_sk020,skill_sk021,skill_sk022,skill_sk023,skill_sk024,skill_sk025,skill_sk026,skill_sk027,skill_sk028,skill_sk029,skill_sk030,skill_sk031,skill_sk032,skill_sk033,skill_sk034,skill_sk035,skill_sk036,skill_sk037,skill_sk038,skill_sk039,skill_sk040,skill_sk041,skill_sk042,skill_sk043,skill_sk044,skill_sk045,skill_sk046,skill_sk047,skill_sk048,skill_sk049,skill_sk050,skill_sk051,skill_sk052,skill_sk053,skill_sk054,skill_sk055,skill_sk056,skill_sk057,skill_sk058,skill_sk059,skill_sk060,skill_sk061,skill_sk062,skill_sk063,skill_sk064,skill_sk065,skill_sk066,skill_sk067,skill_sk068,skill_sk069,skill_sk070,skill_sk071,skill_sk072,skill_sk073,skill_sk074,skill_sk075,skill_sk076,skill_sk077,skill_sk078,skill_sk079,skill_sk080,skill_sk081,skill_sk082,skill_sk083,skill_sk084,skill_sk085,skill_sk086,skill_sk087,skill_sk088,skill_sk089,skill_sk090,skill_sk091,skill_sk092,skill_sk093,skill_sk094,skill_sk095,skill_sk096,skill_sk097,skill_sk098,skill_sk099,skill_sk100,skill_sk101,skill_sk102,skill_sk103,skill_sk104,skill_sk105,skill_sk106,skill_sk107,skill_sk108,skill_sk109,skill_sk110,skill_sk111,skill_sk112,skill_sk113,skill_sk114,skill_sk115,skill_sk116,skill_sk117,skill_sk118,skill_sk119,skill_sk120,skill_sk121,skill_sk122,skill_sk123,skill_sk124,skill_sk125,skill_sk126,skill_sk127,skill_sk128,skill_sk129,skill_sk130,skill_sk131,skill_sk132,skill_sk133,skill_sk134,skill_sk135,skill_sk136,skill_sk137,skill_sk138,skill_sk139,skill_sk140,skill_sk141,skill_sk142,skill_sk143,skill_sk144,skill_sk145,skill_sk146,skill_sk147,skill_sk148,skill_sk149,skill_sk150,skill_sk151,skill_sk152,skill_sk153,skill_sk154,skill_sk155,skill_sk156,skill_sk157,skill_sk158,skill_sk159,skill_sk160,skill_sk161,skill_sk162,skill_sk163,skill_sk164,skill_sk165,skill_sk166,skill_sk167,skill_sk168,skill_sk169,skill_sk170,skill_sk171,skill_sk172,skill_sk173,skill_sk174,skill_sk175,skill_sk176,skill_sk177,skill_sk178,skill_sk179,skill_sk180,skill_sk181,skill_sk182,skill_sk183,skill_sk184,skill_sk185,skill_sk186,skill_sk187,skill_sk188,skill_sk189,skill_sk190,skill_sk191,skill_sk192,skill_sk193,skill_sk194,skill_sk195,skill_sk196,skill_sk197,skill_sk198,skill_sk199,skill_sk200,skill_sk201,skill_sk202,skill_sk203,skill_sk204,skill_sk205,skill_sk206,skill_sk207,skill_sk208,skill_sk209,skill_sk210,skill_sk211,skill_sk212,skill_sk213,skill_sk214,skill_sk215,skill_sk216,skill_sk217,skill_sk218,skill_sk219,skill_sk220,skill_sk221,skill_sk222,skill_sk223,skill_sk224,skill_sk225,skill_sk226,skill_sk227,skill_sk228,skill_sk229,skill_sk230,skill_sk231,skill_sk232,skill_sk233,skill_sk234,skill_sk235,skill_sk236,skill_sk237,skill_sk238,skill_sk239,skill_sk240,skill_sk241,skill_sk242,skill_sk243,skill_sk244,skill_sk245,skill_sk246,skill_sk247,skill_sk248,skill_sk249,skill_sk250,skill_sk251,skill_sk252,skill_sk253,skill_sk254,skill_sk255,skill_sk256,skill_sk257,skill_sk258,skill_sk259,skill_sk260,skill_sk261,skill_sk262,skill_sk263,skill_sk264,skill_sk265,skill_sk266,skill_sk267,skill_sk268,skill_sk269,skill_sk270,skill_sk271,skill_sk272,skill_sk273,skill_sk274,skill_sk275,skill_sk276,skill_sk277,skill_sk278,skill_sk279,skill_sk280,skill_sk281,skill_sk282,skill_sk283,skill_sk284,skill_sk285,skill_sk286,skill_sk287,skill_sk288,skill_sk289,skill_sk290,skill_sk291,skill_sk292,skill_sk293,skill_sk294,skill_sk295,skill_sk296,skill_sk297,skill_sk298,skill_sk299,skill_sk300,exp_student,exp_0-1,exp_1-3,exp_3-5,exp_5+,exp_unknown,edu_al,edu_diploma,edu_hnd,edu_bachelors,edu_masters,edu_phd,edu_unknown,domain_SOFTWARE_ENGINEERING,domain_DATA,domain_AI_ML,domain_DEVOPS,domain_QA,domain_MOBILE,domain_UI_UX,status_student,status_graduate,status_working,status_unknown,jobtype_full_time,jobtype_part_time,jobtype_contract,jobtype_internship,jobtype_remote,jobtype_unknown
AI_ML_ENGINEER_INT,0.2727272727272727,0.0,0.18181818181818182,0.9090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.2727272727272727,0.18181818181818182,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.18181818181818182,0.2727272727272727,0.0,0.6363636363636364,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.5454545454545454,0.0,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DATA_ANALYST_INT,0.14285714285714285,0.0,0.7142857142857143,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,1.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.07142857142857142,0.0,0.21428571428571427,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DATA_ENGINEER_INT,0.30303030303030304,0.030303030303030304,0.8484848484848485,0.7575757575757576,0.0,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.0,0.30303030303030304,0.696969696969697,0.030303030303030304,0.0,0.0,0.15151515151515152,0.0,0.0,0.030303030303030304,0.15151515151515152,0.06060606060606061,0.0,0.0,0.09090909090909091,0.0,0.21212121212121213,0.0,0.18181818181818182,0.030303030303030304,0.0,0.18181818181818182,0.06060606060606061,0.0,0.06060606060606061,0.18181818181818182,0.0,0.0,0.06060606060606061,0.36363636363636365,0.09090909090909091,0.48484848484848486,0.0,0.42424242424242425,0.0,0.030303030303030304,0.0,0.09090909090909091,0.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.09090909090909091,0.30303030303030304,0.0,0.06060606060606061,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.6666666666666666,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.15151515151515152,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.30303030303030304,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.0,0.09090909090909091,0.0,0.30303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.0,0.18181818181818182,0.0,1.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.030303030303030304,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3939393939393939,0.0,0.0,0.0,0.0,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.15151515151515152,0.0,0.0,0.0,0.3333333333333333,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.42424242424242425,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.36363636363636365,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21212121212121213,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.06060606060606061,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.12121212121212122,0.0,0.0,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
