degree_name,Type,Institute,Faculty
Bachelor of Science in Sports Sciences & Management,Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Applied Sciences
Bachelor of Science (Applied Sciences),Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Applied Sciences
Bachelor of Science (Surveying Sciences),Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Geomatics
Bachelor of Science (Special) Business Management,Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Management Studies
Bachelor of Science (Special) Eco Business Management,Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Management Studies
Bachelor of Science (Special) Financial Management,Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Management Studies
Bachelor of Science (Special) Marketing Management,Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Management Studies
Bachelor of Science (Special) Tourism Management,Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Management Studies
Bachelor of Arts (Special) Economics,Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Social Sciences & Languages
Bachelor of Arts (Special) Geography,Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Social Sciences & Languages
Bachelor of Arts (Special) Political Science,Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Social Sciences & Languages
Bachelor of Arts (Special) Sociology & Anthropology,Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Social Sciences & Languages
Bachelor of Arts (Special) Statistics,Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Social Sciences & Languages
Bachelor of Arts Special (Languages),Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Social Sciences & Languages
Bachelor of Arts Special (Social Sciences),Undergraduate,Sabaragamuwa University of Sri Lanka,Faculty of Social Sciences & Languages
Bachelor of Science (Plantation Mangement) (External),Undergraduate,Wayamba University of Sri Lanka,Faculty of Agriculture & Plantation Management
Bachelor of Science of Agriculture,Undergraduate,Wayamba University of Sri Lanka,Faculty of Agriculture & Plantation Management
Bachelor of Science (General),Undergraduate,Wayamba University of Sri Lanka,Faculty of Applied Sciences
Bachelor of Science in (Joint Major),Undergraduate,Wayamba University of Sri Lanka,Faculty of Applied Sciences
Bachelor of Science (Special) in Accountancy & Business Finance,Undergraduate,Wayamba University of Sri Lanka,Faculty of Business Studies and Finance
Bachelor of Science (Special) in Banking & Finance,Undergraduate,Wayamba University of Sri Lanka,Faculty of Business Studies and Finance
Bachelor of Science (Special) in Business Management,Undergraduate,Wayamba University of Sri Lanka,Faculty of Business Studies and Finance
Bachelor of Science (Special) in Insurance & Valuation,Undergraduate,Wayamba University of Sri Lanka,Faculty of Business Studies and Finance
Bachelor of Science (Special) in Food Production & Tech.Management,Undergraduate,Wayamba University of Sri Lanka,"Faculty of Livestock, Fisheries & Nutrition"
Bachelor of Science (Special) in Food Science & Nutrition,Undergraduate,Wayamba University of Sri Lanka,"Faculty of Livestock, Fisheries & Nutrition"
Bachelor of Industrial Information Technology,Undergraduate,Uva Wellassa University,Faculty of Science & Technology
Bachelor of Science in Computer Sc. & Tech.,Undergraduate,Uva Wellassa University,Faculty of Science & Technology
Bachelor of Science in Mineral Resources & Technology,Undergraduate,Uva Wellassa University,Faculty of Science & Technology
Bachelor of Technology,Undergraduate,Uva Wellassa University,Faculty of Science & Technology
Bachelor of Business Management in Entrepreneurship & Management,Undergraduate,Uva Wellassa University,Faculty of Management
"Bachelor of Business Management in Hospitality,Tourism & Events Management",Undergraduate,Uva Wellassa University,Faculty of Management
Bachelor of Animal Science,Undergraduate,Uva Wellassa University,Faculty of Animal Science & Export Agriculture
Bachelor of Science in Aquatic Resources Technology,Undergraduate,Uva Wellassa University,Faculty of Animal Science & Export Agriculture
Bachelor of Science in Export Agriculture,Undergraduate,Uva Wellassa University,Faculty of Animal Science & Export Agriculture
Bachelor of Science in Palm & Latex Tech.& Value Addition,Undergraduate,Uva Wellassa University,Faculty of Animal Science & Export Agriculture
Bachelor of Science in Tea Technology & Value Addition,Undergraduate,Uva Wellassa University,Faculty of Animal Science & Export Agriculture
Bachelor of Performing Arts joint(Special) Degree in Up Country Drumming,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts (Special) Degree in Acting,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts (Special) Degree in Bharatha Nattyam,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts (Special) Degree in Kathak,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts (Special) Degree in Low Country Dance,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts (Special) Degree in Low Country Drumming,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts (Special) Degree in Sabaragamuwa Dance,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts (Special) Degree in Sabaragamuwa Drumming,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts (Special) Degree in Script Writing and Directing,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts (Special) Degree in Up Country Dance,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts (Special) Degree in Up Country Drumming,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts (Special) Degree in Video Dance,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts joint (Special) Degree in Bharatha Nattyam,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts joint (Special) Degree in Kathak,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts joint (Special) Degree in Low Country Dance,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts joint (Special) Degree in Sabaragamuwa Dance,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts joint (Special) Degree in Up Country Dance,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts joint(Special) Degree in Acting,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts joint(Special) Degree in History and Theory of Dance and Drama,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts joint(Special) Degree in Low Country Drumming,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts joint(Special) Degree in Oriental Ballet & Modern Dance,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts joint(Special) Degree in Sabaragamuwa Drumming,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts joint(Special) Degree in Script Writing and Directing,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Performing Arts joint(Special) Degree in Video Dance,Undergraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Master of Arts in Dance,Postgraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Master of Performing Arts in Dance,Postgraduate,University of the Visual & Performing Arts,Faculty of Dance and Drama
Bachelor of Fine Arts in Applied Music,Undergraduate,University of the Visual & Performing Arts,Faculty of Music
Bachelor of Fine Arts in Carnatic Music,Undergraduate,University of the Visual & Performing Arts,Faculty of Music
Bachelor of Fine Arts in Comparative Music,Undergraduate,University of the Visual & Performing Arts,Faculty of Music
Bachelor of Fine Arts in Ethno-Musicology,Undergraduate,University of the Visual & Performing Arts,Faculty of Music
Bachelor of Fine Arts in North Indian Classical Music,Undergraduate,University of the Visual & Performing Arts,Faculty of Music
Bachelor of Fine Arts in Western Music,Undergraduate,University of the Visual & Performing Arts,Faculty of Music
Bachelor of Visual Arts Ceramic,Undergraduate,University of the Visual & Performing Arts,Faculty of Visual Arts
Bachelor of Visual Arts History & Art Theories,Undergraduate,University of the Visual & Performing Arts,Faculty of Visual Arts
Bachelor of Visual Arts Multidiciplinary Design,Undergraduate,University of the Visual & Performing Arts,Faculty of Visual Arts
Bachelor of Visual Arts Multimedia Art,Undergraduate,University of the Visual & Performing Arts,Faculty of Visual Arts
Bachelor of Visual Arts Painting,Undergraduate,University of the Visual & Performing Arts,Faculty of Visual Arts
Bachelor of Visual Arts Printmaking,Undergraduate,University of the Visual & Performing Arts,Faculty of Visual Arts
Bachelor of Visual Arts Sculpture,Undergraduate,University of the Visual & Performing Arts,Faculty of Visual Arts
Bachelor of Visual Arts Textile & Wearable Arts,Undergraduate,University of the Visual & Performing Arts,Faculty of Visual Arts
Bachelor of Visual Arts Visual Communication Design,Undergraduate,University of the Visual & Performing Arts,Faculty of Visual Arts
Bachelor of Arts (Special) in Communication,Undergraduate,Trincomalee Campus,Faculty of Communication and Buisiness Studies
Bachelor of Arts (Majoring) in Communication,Undergraduate,Trincomalee Campus,Faculty of Communication and Buisiness Studies
Bachelor of Arts (Majoring) in English Language,Undergraduate,Trincomalee Campus,Faculty of Communication and Buisiness Studies
Bachelor of Arts (Majoring) in Linguistics,Undergraduate,Trincomalee Campus,Faculty of Communication and Buisiness Studies
Bachelor of Science (Majoring) in Accounting & Financial Management,Undergraduate,Trincomalee Campus,Faculty of Communication and Buisiness Studies
Bachelor of Science (Majoring) in Human Resource Management,Undergraduate,Trincomalee Campus,Faculty of Communication and Buisiness Studies
Bachelor of Science (Majoring) in Information Management,Undergraduate,Trincomalee Campus,Faculty of Communication and Buisiness Studies
Bachelor of Science (Majoring) in Management,Undergraduate,Trincomalee Campus,Faculty of Communication and Buisiness Studies
Bachelor of Science (Majoring) in Marketing,Undergraduate,Trincomalee Campus,Faculty of Communication and Buisiness Studies
Bachelor of Computer Science (Special),Undergraduate,Trincomalee Campus,Faculty of Applied Sciences
Bachelor of Computer Science (General),Undergraduate,Trincomalee Campus,Faculty of Applied Sciences
Bachelor of Information Technology (Special),Undergraduate,Trincomalee Campus,Faculty of Applied Sciences
Bachelor of Information Technology (General),Undergraduate,Trincomalee Campus,Faculty of Applied Sciences
B.Sc. in Applied Mathematics and Computing,Undergraduate,Vavuniya Campus,Faculty of Applied Sciences
B.Sc. (Special) in Computer Science,Undergraduate,Vavuniya Campus,Faculty of Applied Sciences
B.Sc. in Environmental Science,Undergraduate,Vavuniya Campus,Faculty of Applied Sciences
B.Sc. (Special) in Information Communication Technology,Undergraduate,Vavuniya Campus,Faculty of Applied Sciences
B.Sc. (Applied Mathematics & Computing),Undergraduate,Vavuniya Campus,Faculty of Applied Sciences
B.Sc. (Environmental Science),Undergraduate,Vavuniya Campus,Faculty of Applied Sciences
B.Sc. (Special in Applied Mathematics and Computing),Undergraduate,Vavuniya Campus,Faculty of Applied Sciences
B.Sc. (Special in Environmental Science),Undergraduate,Vavuniya Campus,Faculty of Applied Sciences
Bachelor of Information and Communication Technology,Undergraduate,Vavuniya Campus,Faculty of Applied Sciences
Bachelor of Business Management (General),Undergraduate,Vavuniya Campus,Faculty of Business Studies
Bachelor of Business Management (Special) in Accountancy & Finance,Undergraduate,Vavuniya Campus,Faculty of Business Studies
Bachelor of Business Management (Special) in Business Economics,Undergraduate,Vavuniya Campus,Faculty of Business Studies
Bachelor of Business Management (Special) in Marketing Management,Undergraduate,Vavuniya Campus,Faculty of Business Studies
Bachelor of Arts (Special) in Mass Media,Undergraduate,Sri Palee Campus,
Bachelor of Arts (Special) in Performing Arts,Undergraduate,Sri Palee Campus,
Postgraduate Certificate Course in Medical Education,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Anaesthesiology,Postgraduate,Postgraduate Institute of Medicine,
Master of Science in Community Dentistry,Postgraduate,Postgraduate Institute of Medicine,
Master of Science in Community Medicine,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Community Dentistry,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Community Medicine,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Oral Surgery,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Orthodontics,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Restorative Dentistry,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Medicine,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Obstetrics & Gynaecology,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Ophthalmology,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Paediatrics,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Psychiatry,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Family Medicine,Postgraduate,Postgraduate Institute of Medicine,
PostgraduateDiploma in Family Medicine(DE),Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Forensic Medicine,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Otorhinolaryngology,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Radiology,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Surgery,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Medical Microbiology,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Family Medicine,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Legal Medicine,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Pathology,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Medical Microbiology,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in (Pathology) Haematology,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in (Pathology) Histopathology,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Tuberculosis and Chest Diseases,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Clinical Oncology,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Clinical Oncology,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Child Health,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in (Pathology) Chemical Pathology,Postgraduate,Postgraduate Institute of Medicine,
Master of Science Medical Administration,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Dermatology,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Medical Administration,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Transfusion Medicine,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Venerology,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Venerology,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Reproductive Health,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in (Ophthalmology) Module I,Postgraduate,Postgraduate Institute of Medicine,
"Doctor of Medicine in (Ophthalmology) Module II, III & IV",Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Hospital Dental Practice,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Medical Parasitalogy,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Medical Virology,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Transfusion Medicine,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Psychiatry,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Sport Medicine,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Genaral Dental Practice(DE),Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Oral Pathology,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Clinical Microbiology,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Critical Care Medicine,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Medical Education,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in Molecular Medicine,Postgraduate,Postgraduate Institute of Medicine,
Master of Science Biomedical Informatics,Postgraduate,Postgraduate Institute of Medicine,
Master of Science Medical Toxicology,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in (Pathology) Chemical Pathology,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in (Pathology) Heamatology,Postgraduate,Postgraduate Institute of Medicine,
Postgraduate Diploma in (Pathology) Histopathology,Postgraduate,Postgraduate Institute of Medicine,
Doctor of Medicine in Radiology,Postgraduate,Postgraduate Institute of Medicine,
Master of Arts in Buddhist Ayurvedic Counseling,Postgraduate,Postgraduate Institute of Pali & Buddhist Studies,
Master of Science in Nanoscience & Nanotechnology,Postgraduate,Postgraduate Institute of Science,
Master of Science in Environment Management,Postgraduate,Postgraduate Institute of Science,
Master of Science,Postgraduate,Postgraduate Institute of Science,
Postgraduate Diploma in Applied Epidemiology,Postgraduate,Postgraduate Institute of Science,
Postgraduate Diploma in Teaching English as a Second Language,Postgraduate,Postgraduate Institute of English,
Bachelor of Labor Education (BLE) in,Undergraduate,Institute of Human Resource Advancement,
Bachelor of Ayurvedic Medicine & Surgery in,Undergraduate,Institute of Indigenous Medicine,
Bachelor of Unani Medicine & Surgery in,Undergraduate,Institute of Indigenous Medicine,
Bachelor of Science in Computer Science (BSc (Comp.Sc)),Undergraduate,University of Colombo School of Computing,
Bachelor of Science in Information & Communication Technology (BSc.(ICT)),Undergraduate,University of Colombo School of Computing,
Bachelor of Information and Communication Technology (BICT) in,Undergraduate,University of Colombo School of Computing,
Bachelor of Computer Science (BCSc) in,Undergraduate,University of Colombo School of Computing,
Bachelor of Ayurvedic Medicine & Surgery in,Undergraduate,Gampaha Wickramarachchi University of Indigenous Medicine,
Postgraduate Diploma in Management and Administration of Ayurveda Institutions,Postgraduate,Gampaha Wickramarachchi University of Indigenous Medicine,
Master of Science,Postgraduate,Gampaha Wickramarachchi University of Indigenous Medicine,
Bachelor of Fine Arts (Special) in Dance,Undergraduate,Swamy Vipulananda Institute of Aesthetic Studies,
Bachelor of Fine Arts (Special) in Drama & Theatre,Undergraduate,Swamy Vipulananda Institute of Aesthetic Studies,
Bachelor of Fine Arts (Special) in Music,Undergraduate,Swamy Vipulananda Institute of Aesthetic Studies,
Bachelor of Fine Arts (Special) in Visual & Technological Arts,Undergraduate,Swamy Vipulananda Institute of Aesthetic Studies,
